apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
1.0,University of Michigan,1984,483,10390,21.5,Tim McCormick,8.3,12,4.9,CLE,21.5,.099,8
5.5,University of Colorado,1984,788,23062,29.3,Jay Humphries,11.1,13,2.5,PHO,45.0,.094,11
0.9,San Diego State University,1984,1140,29716,26.1,Michael Cage,7.3,14,7.6,LAC,74.4,.120,15
2.0,Temple University,1984,192,2984,15.5,Terence Stansbury,6.3,15,1.4,DAL,2.4,.038,3
10.5,Gonzaga University,1984,1504,47764,31.8,John Stockton,13.1,16,2.7,UTA,207.7,.209,19
1.0,Vanderbilt University,1984,612,11244,18.4,Jeff Turner,6.0,17,3.3,NJN,8.9,.038,10
4.8,University of Georgia,1984,893,24721,27.7,Vern Fleming,11.3,18,3.4,IND,52.0,.101,12
1.3,"California State University, Fresno",1984,204,2935,14.4,Bernard Thompson,5.3,19,1.7,POR,3.4,.056,5
1.5,Ohio State University,1984,690,15180,22.0,Tony Campbell,11.6,20,3.1,DET,20.7,.065,11
1.0,"University of California, Los Angeles",1984,184,2692,14.6,Kenny Fields,6.2,21,2.5,MIL,4.2,.074,4
0.3,Lamar University,1984,21,87,4.1,Tom Sewell,1.0,22,0.2,PHI,-0.4,-0.201,1
0.3,University of the District of Columbia,1984,14,50,3.6,Earl Jones,0.9,23,0.7,LAL,-0.1,-0.090,2
0.5,University of Houston,1984,49,472,9.6,Michael Young,4.6,24,1.8,BOS,1.1,.110,3
1.3,Brigham Young University,1984,63,807,12.8,Devin Durrant,5.0,25,2.1,IND,-0.2,-0.012,2
,Xavier University,1984,,,,Victor Fleming,,26,,POR,,,
1.4,"California State University, Fresno",1984,664,15112,22.8,Ron Anderson,10.6,27,3.5,CLE,24.2,.077,10
0.4,University of Wisconsin,1984,60,551,9.2,Cory Blackwell,3.4,28,1.6,SEA,-0.9,-0.081,1
0.4,"University of California, Los Angeles",1984,386,3457,9.0,Stuart Gray,2.3,29,2.6,IND,3.3,.046,7
1.2,Iona College,1984,101,1121,11.1,Steve Burtt,5.8,30,0.9,GSW,0.0,.000,4
0.2,Boston College,1984,67,436,6.5,Jay Murphy,2.4,31,1.7,GSW,-0.5,-0.052,4
,University of Michigan,1984,,,,Eric Turner,,32,,DET,,,
2.8,New Mexico State University,1984,526,9570,18.2,Steve Colter,6.3,33,2.0,POR,17.3,.087,8
,Saint Joseph's University,1984,,,,Tony Costner,,34,,WSB,,,
3.3,University of Virginia,1984,127,2049,16.1,Othell Wilson,4.2,35,1.7,GSW,1.4,.032,2
1.0,University of Louisville,1984,201,3009,15.0,Charles Jones,5.0,36,3.8,PHO,4.5,.072,4
0.6,University of Maryland,1984,227,3612,15.9,Ben Coleman,6.6,37,4.1,CHI,5.0,.067,5
0.6,Oregon State University,1984,43,304,7.1,Charlie Sitton,2.1,38,1.4,DAL,0.1,.008,1
2.9,Wake Forest University,1984,574,9536,16.6,Danny Young,4.6,39,1.2,SEA,20.2,.101,10
,Wake Forest University,1984,,,,Anthony Teachey,,40,,DAL,,,
0.5,University of Notre Dame,1984,31,151,4.9,Tom Sluby,2.4,41,0.4,DAL,0.2,.052,1
1.0,University of Tennessee at Chattanooga,1984,82,577,7.0,Willie White,3.7,42,1.0,DEN,0.3,.028,2
,Oregon State University,1984,,,,Greg Wiltjer,,43,,CHI,,,
,University of Texas at El Paso,1984,,,,Fred Reynolds,,44,,WSB,,,
0.5,Boston University,1984,126,1439,11.4,Gary Plummer,4.2,45,2.4,GSW,0.2,.006,2
1.9,Longwood University,1984,1153,28115,24.4,Jerome Kersey,10.3,46,5.5,POR,69.5,.119,17
,University of Florida,1984,,,,Ronnie Williams,,47,,BOS,,,
,University of Georgia,1984,,,,James Banks,,48,,PHI,,,
,Northern Illinois University,1984,,,,Tim Dillon,,49,,CHI,,,
1.3,"University of California, Irvine",1984,176,3692,21.0,Ben McDonald,6.0,50,3.2,CLE,2.5,.033,4
1.0,University of Minnesota,1984,491,9802,20.0,Jim Petersen,6.9,51,4.8,HOU,13.8,.067,8
,University of Alabama,1984,,,,Terry Williams,,52,,SEA,,,
,University of Tulsa,1984,,,,Ricky Ross,,53,,WSB,,,
,University of Dayton,1984,,,,Roosevelt Chapman,,54,,KCK,,,
,Alabama State University,1984,,,,Lewis Jackson,,55,,GSW,,,
,St. John's University,1984,,,,Jeff Allen,,56,,KCK,,,
0.1,North Carolina Agricultural and Technical State University,1984,11,51,4.6,Joe Binion,1.3,57,1.6,SAS,0.1,.092,1
,University of Memphis,1984,,,,Bobby Parks,,58,,ATL,,,
,Clemson University,1984,,,,Murray Jarman,,59,,PHO,,,
,Louisiana State University,1984,,,,Leonard Mitchell,,60,,CLE,,,
0.0,University of Maine,1984,21,128,6.1,Jeff Cross,1.2,61,1.4,DAL,-0.1,-0.038,1
0.3,Norfolk State University,1984,33,203,6.2,David Pope,1.9,62,0.9,UTA,-0.1,-0.026,2
,Sam Houston State University,1984,,,,Yommy Sangodeyi,,63,,NJN,,,
,University of Southern Mississippi,1984,,,,Curtis Green,,64,,NYK,,,
,West Virginia University,1984,,,,Tim Kearney,,65,,POR,,,
,Saint Joseph's University,1984,,,,Kevin Springman,,66,,DET,,,
,University of Florida,1984,,,,Vernon Delancy,,67,,MIL,,,
0.3,Yale University,1984,4,11,2.8,Butch Graves,1.3,68,0.5,PHI,-0.1,-0.243,1
,Furman University,1984,,,,George Singleton,,69,,LAL,,,
1.1,University of Virginia,1984,188,1461,7.8,Rick Carlisle,2.2,70,0.8,BOS,0.5,.015,5
4.0,"University of California, Los Angeles",1984,1,12,12.0,Ralph Jackson,2.0,71,1.0,IND,0.0,.069,1
,University of North Carolina at Charlotte,1984,,,,Melvin Johnson,,72,,CHI,,,
,Northwestern University,1984,,,,Art Aaron,,73,,CLE,,,
,Centenary College of Louisiana,1984,,,,Willie Jackson,,74,,HOU,,,
,University of Montana,1984,,,,Marc Glass,,75,,LAC,,,
0.3,University of South Florida,1984,26,168,6.5,Jim Grandholm,3.0,76,1.9,WSB,0.4,.123,1
,Northeastern University,1984,,,,Mark Halsel,,77,,CHI,,,
,Ohio University,1984,,,,John Devereaux,,78,,SAS,,,
,University of Calgary,1984,,,,Karl Tilleman,,79,,DEN,,,
0.1,University of Kansas,1984,28,149,5.3,Carl Henry,2.8,80,0.7,KCK,0.2,.049,1
,University of Kentucky,1984,,,,Dickie Beal,,81,,ATL,,,
,"University of Nevada, Las Vegas",1984,,,,Jeff Collins,,82,,PHO,,,
,Xavier University,1984,,,,Jeff Jenkins,,83,,SEA,,,
,University of North Texas,1984,,,,John Horrocks,,84,,DAL,,,
,Illinois State University,1984,,,,Hank Cornley,,85,,NJN,,,
0.2,Purdue University,1984,23,127,5.5,Jim Rowinski,2.5,86,1.5,UTA,0.3,.113,2
0.3,"University of California, Irvine",1984,283,3386,12.0,Bob Thornton,3.0,87,2.5,NYK,1.3,.018,8
,Brigham Young University,1984,,,,Brett Applegate,,88,,POR,,,
,University of New Mexico,1984,,,,Phillip Smith,,89,,DET,,,
0.8,"California State University, Fullerton",1984,70,906,12.9,Ozell Jones,3.5,90,3.4,SAS,1.2,.066,2
,Morehead State University,1984,,,,Earl Harrison,,91,,PHI,,,
,Stanford University,1984,,,,John Revelli,,92,,LAL,,,
,Princeton University,1984,,,,Kevin Mullin,,93,,BOS,,,
,Georgetown University,1984,,,,Gene Smith,,94,,IND,,,
,Lamar University,1984,,,,Lamont Robinson,,95,,CHI,,,
,Boise State University,1984,,,,Vince Hinchen,,96,,CLE,,,
,University of New Hampshire,1984,,,,Al McClain,,97,,HOU,,,
,University of Louisiana at Lafayette,1984,,,,Alonza Allen,,98,,LAC,,,
,Bowling Green State University,1984,,,,Cohn Irish,,99,,WSB,,,
,University of Alabama,1984,,,,Eric Richardson,,100,,SAS,,,
,Doane College,1984,,,,Steve Bartek,,101,,GSW,,,
,University of South Carolina,1984,,,,Jim Foster,,102,,KCK,,,
,University of Missouri,1984,,,,Prince Bridges,,103,,DEN,,,
,University of Louisiana at Monroe,1984,,,,Terry Martin,,104,,ATL,,,
,University of Richmond,1984,,,,Bill Flye,,105,,PHO,,,
,,1984,,,,Eli Pasquale,,106,,SEA,,,
,University of Illinois at Chicago,1984,,,,Dave Williams,,107,,DAL,,,
,Fairleigh Dickinson University,1984,,,,Marcus Gaither,,108,,UTA,,,
,University of South Alabama,1984,,,,Michael Gerren,,109,,NJN,,,
,Pepperdine University,1984,,,,Scott McCollum,,110,,GSW,,,
,University of San Diego,1984,,,,Mike Whitmarsh,,111,,POR,,,
,University of Texas at San Antonio,1984,,,,Rick Doyle,,112,,DET,,,
,College of the Holy Cross,1984,,,,Ernie Floyd,,113,,MIL,,,
,University of Tennessee,1984,,,,Dan Federman,,114,,PHI,,,
,North Dakota State University,1984,,,,Lance Berwald,,115,,LAL,,,
,Bentley College,1984,,,,Todd Orlando,,116,,BOS,,,
,University of Pittsburgh,1984,,,,Clyde Vaughn,,117,,IND,,,
,Morehead State University,1984,,,,Jeff Tipton,,118,,CHI,,,
,University of North Carolina,1984,,,,Matt Doherty,,119,,CLE,,,
0.5,University of Alabama at Birmingham,1984,2,10,5.0,McKinley Singleton,2.0,120,0.0,MIL,0.0,.131,1
,University of Memphis,1984,,,,Phillip Haynes,,121,,LAC,,,
,Illinois Wesleyan University,1984,,,,Blaise Bugajeski,,122,,WSB,,,
,University of Wyoming,1984,,,,Tony Martin,,123,,GSW,,,
,University of Louisiana at Lafayette,1984,,,,Dion Brown,,124,,SAS,,,
,University of Tennessee,1984,,,,Willie Burton,,125,,DEN,,,
,University of Tulsa,1984,,,,Bruce Vanley,,126,,KCK,,,
,University of Kentucky,1984,,,,Jim Master,,127,,ATL,,,
,University of Maryland,1984,,,,Herman Veal,,128,,PHO,,,
,University of Louisiana at Lafayette,1984,,,,Graylin Warner,,129,,SEA,,,
,Marshall University,1984,,,,LaVerne Evans,,130,,DAL,,,
,,1984,,,,Oscar Schmidt,,131,,NJN,,,
,West Virginia Wesleyan College,1984,,,,Chris Harrison,,132,,UTA,,,
0.2,Gardner-Webb University,1984,322,3787,11.8,Eddie Lee Wilkins,4.8,133,3.1,NYK,2.5,.032,6
,Western Oregon University,1984,,,,Lance Ball,,134,,POR,,,
,Louisiana Tech University,1984,,,,Rennie Bailey,,135,,DET,,,
,Stetson University,1984,,,,Mike Reddick,,136,,MIL,,,
,Iona College,1984,,,,Gary Springer,,137,,PHI,,,
,Stanford University,1984,,,,Keith Jones,,138,,LAL,,,
,University of Iowa,1984,,,,Steve Carfino,,139,,BOS,,,
1.0,University of Virginia,1984,10,143,14.3,Kenton Edelin,1.1,140,2.6,IND,0.1,.042,1
,University of California,1984,,,,Butch Hays,,141,,CHI,,,
,University of Akron,1984,,,,Joe Jakubick,,142,,CLE,,,
,"California State University, Long Beach",1984,,,,Joedy Gardner,,143,,HOU,,,
,University of Oregon,1984,,,,David Brantley,,144,,LAC,,,
,University of New Mexico,1984,,,,Tim Garrett,,145,,WSB,,,
,University of California,1984,,,,Michael Pitts,,146,,SAS,,,
,"California State University, Northridge",1984,,,,Cliff Higgins,,147,,GSW,,,
,Robert Morris University (PA),1984,,,,Chip Harris,,148,,KCK,,,
,Cawtaba College,1984,,,,Mark Simpson,,149,,DEN,,,
,Florida State University,1984,,,,Vince Martello,,150,,ATL,,,
,Oklahoma State University,1984,,,,Raymond Crenshaw,,151,,PHO,,,
,University of Oregon,1984,,,,Gary Gatewood,,152,,SEA,,,
,"University of California, Irvine",1984,,,,George Turner,,153,,DAL,,,
,Southern Utah University,1984,,,,Bob Evans,,154,,UTA,,,
,Syracuse University,1984,,,,Sean Kerins,,155,,NJN,,,
0.4,Saint Augustine's College,1984,253,3867,15.3,Ken Bannister,5.9,156,3.5,NYK,0.6,.007,5
,Pepperdine University,1984,,,,Victor Anger,,157,,POR,,,
,Bloomsburg University of Pennsylvania,1984,,,,Barry Francisco,,158,,DET,,,
,Florida State University,1984,,,,Tony William,,159,,MIL,,,
,Drexel University,1984,,,,Rich Congo,,160,,PHI,,,
,Chaminade University of Honolulu,1984,,,,Richard Haenisch,,161,,LAL,,,
,Framingham State College,1984,,,,Mark Van Valkenburg,,162,,BOS,,,
,University of Kentucky,1984,,,,Tom Heitz,,163,,IND,,,
,Alliant International University,1984,,,,Brett Crawford,,164,,CHI,,,
,Oberlin College,1984,,,,Elliot Beard,,165,,CLE,,,
,Angelo State University,1984,,,,Greg Wolff,,166,,HOU,,,
,Temple University,1984,,,,Jim McLoughlin,,167,,LAC,,,
,West Virginia Wesleyan College,1984,,,,Darryl Odom,,168,,WSB,,,
,"University of Nevada, Las Vegas",1984,,,,Paul Brozovich,,169,,GSW,,,
,"University of Nevada, Las Vegas",1984,,,,Dan Tarkanian,,170,,SAS,,,
,University of Texas at Austin,1984,,,,Bill Wendlandt,,171,,DEN,,,
,Fort Hays State University,1984,,,,Nate Rollins,,172,,KCK,,,
,Long Island University,1984,,,,Robert Brown,,173,,ATL,,,
,University of Maryland,1984,,,,Mark Fothergill,,174,,PHO,,,
,DePaul University,1984,,,,Jerry McMillan,,175,,SEA,,,
,University of Arkansas,1984,,,,Leroy Sutton,,176,,DAL,,,
,University of Utah,1984,,,,Chris Winans,,177,,NJN,,,
,"University of Nevada, Las Vegas",1984,,,,Eric Booker,,178,,UTA,,,
,Youngstown State University,1984,,,,Ricky Tunstall,,179,,NYK,,,
,"University of California, San Diego",1984,,,,Steve Flint,,180,,POR,,,
,Appalachian State University,1984,,,,Dale Roberts,,181,,DET,,,
,University of South Carolina,1984,,,,Brad Jergenson,,182,,MIL,,,
,Villanova University,1984,,,,Frank Dobbs,,183,,PHI,,,
,College of the Holy Cross,1984,,,,Champ Godboldt,,184,,BOS,,,
0.0,University of Kansas,1984,8,21,2.6,Brian Martin,0.8,185,0.5,IND,-0.1,-0.132,1
,University of Oklahoma,1984,,,,Calvin Pierce,,186,,CHI,,,
,Xavier University,1984,,,,John Shimko,,187,,CLE,,,
,Presbyterian College,1984,,,,Bill Coon,,188,,HOU,,,
,Westmont College,1984,,,,Dave Schultz,,189,,LAC,,,
,University of North Carolina at Pembroke,1984,,,,Mike Emanuel,,190,,WSB,,,
,St. Mary's University,1984,,,,Melvin Roseboro,,191,,SAS,,,
,"California State University, Fresno",1984,,,,Mitch Arnold,,192,,GSW,,,
,Auburn University,1984,,,,Greg Turner,,193,,KCK,,,
,University of North Carolina,1984,,,,Cecil Exum,,194,,DEN,,,
,Georgetown University,1984,,,,Fred Brown,,195,,ATL,,,
,Bellarmine University,1984,,,,Buddy Cox,,196,,PHO,,,
,Idaho State University,1984,,,,Mike Williams,,197,,SEA,,,
,Louisiana State University,1984,,,,John Tudor,,198,,DAL,,,
,University of Kansas,1984,,,,Kelly Knight,,199,,UTA,,,
,Princeton University,1984,,,,Billy Ryan,,200,,NJN,,,
,Marquette University,1984,,,,Marc Marotta,,201,,NYK,,,
,University of Portland,1984,,,,Dennis Black,,202,,POR,,,
,Michigan State University,1984,,,,Ben Tower,,203,,DET,,,
,University of Massachusetts Amherst,1984,,,,Edwin Green,,204,,MIL,,,
,Drexel University,1984,,,,Michael Mitchell,,205,,PHI,,,
,Merrimack College,1984,,,,Joe Dixon,,206,,BOS,,,
,Western Kentucky University,1984,,,,Gary Carver,,207,,IND,,,
,University of Houston,1984,,,,Carl Lewis,,208,,CHI,,,
,Northeastern Illinois University,1984,,,,Darrell Space,,209,,CLE,,,
,Canisius College,1984,,,,Robert Turner,,210,,HOU,,,
,Pennsylvania State University,1984,,,,Dick Mumma,,211,,LAC,,,
,Stetson University,1984,,,,Glynn Myrick,,212,,WSB,,,
,"University of California, Riverside",1984,,,,Tim Bell,,213,,GSW,,,
,New Mexico State University,1984,,,,Frank Rodriguez,,214,,SAS,,,
,Xavier University,1984,,,,Dexter Bailey,,215,,DEN,,,
,Northwest Missouri State University,1984,,,,Victor Coleman,,216,,KCK,,,
,Hofstra University,1984,,,,Doug Mills,,217,,ATL,,,
,Liberty University,1984,,,,Ezra Hill,,218,,PHO,,,
,Creighton University,1984,,,,Greg Brandon,,219,,SEA,,,
,Grambling State University,1984,,,,Napoleon Johnson,,220,,DAL,,,
,Saint Peter's College,1984,,,,Phil Jamison,,221,,NJN,,,
,Niagara University,1984,,,,Mike Curran,,222,,UTA,,,
,"Long Island University, C.W. Post Campus",1984,,,,Mike Henderson,,223,,NYK,,,
,George Fox University,1984,,,,Randy Dunn,,224,,POR,,,
,University of Michigan,1984,,,,Dan Pelekoudas,,225,,DET,,,
,Florida Agricultural and Mechanical University,1984,,,,Mike Toomer,,226,,MIL,,,
,Boston College,1984,,,,Martin Clark,,227,,PHI,,,
,Clark University,1984,,,,Dan Trant,,228,,BOS,,,
1.9,Georgetown University,1985,1183,40594,34.3,Patrick Ewing,21.0,1,9.8,NYK,126.4,.150,17
1.3,University of Oklahoma,1985,840,23868,28.4,Wayman Tisdale,15.3,2,6.1,IND,45.7,.092,12
1.3,Creighton University,1985,807,21911,27.2,Benoit Benjamin,11.4,3,7.5,LAC,32.7,.072,15
2.0,Wichita State University,1985,870,25201,29.0,Xavier McDaniel,15.6,4,6.1,SEA,47.8,.091,12
1.0,Southern Methodist University,1985,784,16409,20.9,Jon Koncak,4.5,5,4.9,ATL,29.2,.085,11
0.6,University of Arkansas,1985,965,14712,15.2,Joe Kleine,4.8,6,4.1,SAC,19.1,.062,15
3.5,St. John's University,1985,986,32163,32.6,Chris Mullin,18.2,7,4.1,GSW,93.1,.139,16
3.4,University of Washington,1985,1136,33597,29.6,Detlef Schrempf,13.9,8,6.2,DAL,109.5,.156,16
2.5,Virginia Union University,1985,1282,40280,31.4,Charles Oakley,9.7,9,9.5,CLE,89.7,.107,19
0.9,Villanova University,1985,793,15698,19.8,Ed Pinckney,6.8,10,5.0,PHO,42.7,.130,12
1.0,University of Memphis,1985,182,2907,16.0,Keith Lee,6.1,11,4.7,CHI,3.7,.062,3
0.3,Wake Forest University,1985,60,625,10.4,Kenny Green,4.4,12,1.7,WSB,-0.3,-0.022,2
3.6,Louisiana Tech University,1985,1476,54852,37.2,Karl Malone,25.0,13,10.1,UTA,234.6,.205,19
0.9,Loyola University of Chicago,1985,68,866,12.7,Alfredrick Hughes,5.2,14,1.7,SAS,-0.5,-0.029,1
0.9,University of Oregon,1985,532,11409,21.4,Blair Rasmussen,9.6,15,5.7,DEN,19.0,.080,8
0.6,St. John's University,1985,720,9740,13.5,Bill Wennington,4.6,16,3.0,DAL,17.7,.087,13
0.4,Indiana University,1985,235,1966,8.4,Uwe Blab,2.1,17,1.8,DAL,0.4,.009,5
4.5,McNeese State University,1985,1018,35139,34.5,Joe Dumars,16.1,18,2.2,DET,86.2,.118,14
1.1,University of Tulsa,1985,207,2840,13.7,Steve Harris,7.0,19,1.8,HOU,3.1,.053,5
3.9,Michigan State University,1985,396,7527,19.0,Sam Vincent,7.8,20,2.1,BOS,10.9,.069,7
0.9,University of South Alabama,1985,515,13541,26.3,Terry Catledge,12.7,21,6.4,PHI,20.9,.074,8
2.0,Louisiana State University,1985,443,8379,18.9,Jerry Reynolds,9.1,22,3.0,MIL,10.5,.060,8
1.1,Oregon State University,1985,1278,36552,28.6,A.C. Green,9.6,23,7.4,LAL,99.5,.131,16
5.6,University of Wisconsin-Stevens Point,1985,1274,35354,27.8,Terry Porter,12.2,24,3.0,POR,110.4,.150,17
0.3,Canisius College,1985,194,1890,9.7,Mike Smrek,2.9,25,2.2,POR,0.7,.018,7
0.7,Georgetown University,1985,84,860,10.2,Bill Martin,4.7,26,1.6,IND,0.3,.016,3
1.5,Villanova University,1985,45,461,10.2,Dwayne McClain,3.5,27,0.7,IND,-0.3,-0.026,1
0.3,Michigan State University,1985,64,815,12.7,Ken Johnson,4.1,28,3.8,CHI,0.8,.044,1
0.2,University of South Carolina,1985,38,248,6.5,Mike Brittain,1.7,29,1.4,SAS,-0.1,-0.011,2
,Virginia Commonwealth University,1985,,,,Calvin Duncan,,30,,CLE,,,
0.3,University of Bridgeport,1985,624,11698,18.7,Manute Bol,2.6,31,4.2,WSB,12.3,.051,10
0.9,Santa Clara University,1985,68,842,12.4,Nick Vanos,3.3,32,3.5,PHO,-0.1,-0.007,2
0.4,University of Iowa,1985,42,384,9.1,Greg Stokes,3.1,33,1.5,PHI,0.3,.041,2
,Wichita State University,1985,,,,Aubrey Sherrod,,34,,CHI,,,
1.8,DePaul University,1985,1065,27657,26.0,Tyrone Corbin,9.2,35,4.7,SAS,56.5,.098,16
0.0,Georgia Institute of Technology,1985,1,5,5.0,Yvon Joseph,2.0,36,0.0,NJN,0.0,.309,1
1.1,Long Island University,1985,180,2376,13.2,Carey Scurry,4.7,37,2.9,UTA,5.3,.107,3
0.4,,1985,24,146,6.1,Fernando Martin,0.9,38,1.2,NJN,-0.4,-0.144,1
,University of Illinois at Urbana-Champaign,1985,,,,George Montgomery,,39,,POR,,,
0.5,Oral Roberts University,1985,375,5982,16.0,Mark Acres,3.6,40,4.1,DAL,9.3,.075,6
0.2,North Carolina State University,1985,36,273,7.6,Lorenzo Charles,3.4,41,1.1,ATL,0.5,.086,1
,University of Alabama,1985,,,,Bobby Lee Hurt,,42,,GSW,,,
0.0,Iowa State University,1985,2,6,3.0,Barry Stevens,1.0,43,1.0,DEN,0.0,.157,1
0.0,Bradley University,1985,4,17,4.3,Voise Winters,1.5,44,0.8,PHI,-0.1,-0.355,1
1.8,Tulane University,1985,887,26327,29.7,Hot Rod Williams,11.0,45,6.8,CLE,70.5,.129,13
0.7,University of Maryland,1985,130,1429,11.0,Adrian Branch,6.4,46,1.9,CHI,2.1,.070,4
3.0,University of Tennessee at Chattanooga,1985,900,26084,29.0,Gerald Wilkins,13.0,47,2.9,NYK,33.9,.062,13
,DePaul University,1985,,,,Kenny Patterson,,48,,IND,,,
0.1,"University of California, Los Angeles",1985,16,145,9.1,Brad Wright,3.4,49,3.4,GSW,-0.1,-0.045,2
,San Diego State University,1985,,,,Leonard Allen,,50,,DAL,,,
,University of South Florida,1985,,,,Charles Bradley,,51,,SAC,,,
,Houston Baptist University,1985,,,,Anicet Lavodrama,,52,,LAC,,,
,Virginia Commonwealth University,1985,,,,Rolando Lamb,,53,,SEA,,,
1.1,Mercer University,1985,994,22257,22.4,Sam Mitchell,8.7,54,3.7,HOU,41.7,.090,13
,University of Tulsa,1985,,,,Herb Johnson,,55,,CLE,,,
,Lamar University,1985,,,,Jerry Everett,,56,,PHO,,,
,University of Iowa,1985,,,,Michael Payne,,57,,HOU,,,
,Creighton University,1985,,,,Vernon Moore,,58,,WSB,,,
2.1,University of Dayton,1985,112,1410,12.6,Sedric Toney,3.7,59,0.9,ATL,0.0,.000,5
,Northwestern University,1985,,,,Andre Goode,,60,,DET,,,
0.8,Virginia Polytechnic Institute and State University,1985,9,72,8.0,Perry Young,1.4,61,0.9,POR,-0.1,-0.047,1
,"University of California, Los Angeles",1985,,,,Nigel Manuel,,62,,NJN,,,
0.5,Santa Clara University,1985,20,75,3.8,Harold Keeling,2.2,63,0.3,DAL,0.1,.041,1
,University of Evansville,1985,,,,Richie Johnson,,64,,DET,,,
,Southern Illinois University,1985,,,,Ken Perry,,65,,WSB,,,
6.4,Boston College,1985,653,20446,31.3,Michael Adams,14.7,66,2.9,SAC,46.9,.110,11
,La Salle University,1985,,,,Steve Black,,67,,PHI,,,
,University of Florida,1985,,,,Eugene McDowell,,68,,MIL,,,
0.7,George Washington University,1985,626,10961,17.5,Mike Brown,5.0,69,4.4,CHI,15.9,.069,11
,Loyola University of Chicago,1985,,,,Andre Battle,,70,,BOS,,,
,University of Texas at El Paso,1985,,,,Luster Goodwin,,71,,GSW,,,
,Clemson University,1985,,,,Vince Hamilton,,72,,IND,,,
1.7,Eastern Michigan University,1985,50,496,9.9,Fred Cofield,3.4,73,1.0,NYK,-0.5,-0.044,2
,Arizona State University,1985,,,,Jim Deines,,74,,LAC,,,
0.2,University of Colorado,1985,22,90,4.1,Alex Stivrins,2.0,75,1.0,SEA,-0.1,-0.043,2
,Louisiana Tech University,1985,,,,Willie Simmons,,76,,SAC,,,
2.1,,1985,470,11375,24.2,Arvydas Sabonis,12.0,77,7.3,ATL,47.3,.200,7
,Temple University,1985,,,,Granger Hall,,78,,PHO,,,
0.4,Old Dominion University,1985,33,258,7.8,Mark Davis,3.8,79,1.1,CLE,0.7,.134,1
,Samford University,1985,,,,Craig Beard,,80,,CHI,,,
,"University of Nevada, Las Vegas",1985,,,,Richie Adams,,81,,WSB,,,
1.2,University of Wisconsin,1985,160,1798,11.2,Scott Roth,4.7,82,1.3,SAS,1.1,.030,3
2.2,Wake Forest University,1985,239,2357,9.9,Delaney Rudd,3.4,83,0.8,UTA,0.7,.014,4
2.1,Rutgers University,1985,612,10910,17.8,John Battle,8.7,84,1.3,ATL,17.9,.079,10
,Oklahoma State University,1985,,,,Joe Atkinson,,85,,POR,,,
,Texas Tech University,1985,,,,Bubba Jennings,,86,,DAL,,,
5.3,North Carolina State University,1985,814,20288,24.9,Spud Webb,9.9,87,2.1,DET,40.2,.095,12
,University of Tennessee,1985,,,,Mike Brooks,,88,,HOU,,,
0.3,University of Arizona,1985,58,583,10.1,Pete Williams,2.6,89,2.5,DEN,1.4,.112,2
0.5,University of Texas at San Antonio,1985,77,1082,14.1,Derrick Gervin,8.8,90,2.3,PHI,2.1,.095,2
0.0,North Carolina State University,1985,3,7,2.3,Cozell McQueen,2.0,91,2.7,MIL,0.1,.627,1
0.7,University of South Alabama,1985,3,18,6.0,Dexter Shouse,0.0,92,0.0,LAL,-0.1,-0.281,1
,Liberty University,1985,,,,Cliff Weber,,93,,BOS,,,
,University of Richmond,1985,,,,Kelvin Johnson,,94,,IND,,,
,University of Missouri,1985,,,,Greg Cavener,,95,,GSW,,,
,Virginia Commonwealth University,1985,,,,Mike Schlegel,,96,,NYK,,,
,Illinois State University,1985,,,,Lou Stefanovic,,97,,SEA,,,
,Saint Joseph's University,1985,,,,Bob Lojewski,,98,,SAC,,,
,University of Southern California,1985,,,,Wayne Carlander,,99,,LAC,,,
,Hampton University,1985,,,,Larry Hampton,,100,,ATL,,,
,,1985,,,,Gunther Behnke,,101,,CLE,,,
,Weber State University,1985,,,,Shawn Campbell,,102,,PHO,,,
,University of Houston,1985,,,,Reid Gettys,,103,,CHI,,,
,Florida State University,1985,,,,Dean Shaffer,,104,,WSB,,,
,Canisius College,1985,,,,Ray Hall,,105,,UTA,,,
,University of Southern California,1985,,,,Clayton Olivier,,106,,SAS,,,
,Union College,1985,,,,James Anderson,,107,,POR,,,
,University of South Alabama,1985,,,,Kelly Blaine,,108,,NJN,,,
,University of Minnesota,1985,,,,Tommy Davis,,109,,DAL,,,
,Murray State University,1985,,,,Mike Lahm,,110,,DET,,,
,University of Illinois at Chicago,1985,,,,Ivan Daniels,,111,,IND,,,
,Texas A&M University,1985,,,,Kenny Brown,,112,,DEN,,,
,Southern Methodist University,1985,,,,Carl Wright,,113,,PHI,,,
,Providence College,1985,,,,Ray Knight,,114,,MIL,,,
,Brigham Young University,1985,,,,Timo Saarelainen,,115,,LAL,,,
,La Salle University,1985,,,,Albert Butts,,116,,BOS,,,
,University of Georgia,1985,,,,Gerald Crosby,,117,,GSW,,,
,Boston College,1985,,,,Stu Primus,,118,,IND,,,
,University of Texas at El Paso,1985,,,,Kent Lockhart,,119,,NYK,,,
,University of Arkansas,1985,,,,Charles Valentine,,120,,SAC,,,
,University of Missouri,1985,,,,Malcolm Thomas,,121,,LAC,,,
,Mercer University,1985,,,,Earl Walker,,122,,SEA,,,
,Lafayette College,1985,,,,Tony Duckett,,123,,ATL,,,
,Temple University,1985,,,,Charles Rayne,,124,,PHO,,,
,Illinois State University,1985,,,,Ricky Johnson,,125,,CLE,,,
